***************************************************************************************************
Started processing at [12/16/2024 15:53:21].
***************************************************************************************************

Running script version [1.1].

***************************************************************************************************

[12/16/2024 15:53:22] Export Folder: [D:\Code\Repos\US-Mass-Shootings\Export] already exists
[12/16/2024 15:53:25] Mother Jones CSV copied to: [D:\Code\Repos\US-Mass-Shootings\Export]
[12/16/2024 15:53:26] Mother Jones CSV imported from: [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2024.csv]
[12/16/2024 15:53:26] Starting column data correction loop
[12/16/2024 15:53:28] Record Update 1
[12/16/2024 15:53:28] Record Update 2
[12/16/2024 15:53:28] Record Update 3
[12/16/2024 15:53:29] Record Update 4
[12/16/2024 15:53:29] Record Update 5
[12/16/2024 15:53:29] Record Update 6
[12/16/2024 15:53:29] Record Update 7
[12/16/2024 15:53:29] Record Update 8
[12/16/2024 15:53:29] Record Update 9
[12/16/2024 15:53:30] Record Update 10
[12/16/2024 15:53:30] Record Update 11
[12/16/2024 15:53:30] Record Update 12
[12/16/2024 15:53:30] Record Update 13
[12/16/2024 15:53:30] Record Update 14
[12/16/2024 15:53:30] Record Updated 15
[12/16/2024 15:53:30] Record Updated 16
[12/16/2024 15:53:30] Record Updated 17
[12/16/2024 15:53:31] Record Updated 18
[12/16/2024 15:53:31] Record Updated 19
[12/16/2024 15:53:31] Record Updated 20
[12/16/2024 15:53:31] Record Updated 21
[12/16/2024 15:53:31] Record Updated 22
[12/16/2024 15:53:31] Record Updated 23
[12/16/2024 15:53:32] Record Updated 24
[12/16/2024 15:53:32] Record Updated 25
[12/16/2024 15:53:32] Record Updated 26
[12/16/2024 15:53:32] Record Updated 27
[12/16/2024 15:53:32] Record Updated 28
[12/16/2024 15:53:32] Record Updated 29
[12/16/2024 15:53:32] Record Updated 30
[12/16/2024 15:53:32] Record Updated 31
[12/16/2024 15:53:33] Record Updated 32
[12/16/2024 15:53:33] Record Updated 33
[12/16/2024 15:53:33] Record Updated 34
[12/16/2024 15:53:33] Record Updated 35
[12/16/2024 15:53:33] Record Updated 36
[12/16/2024 15:53:33] Record Updated 37
[12/16/2024 15:53:33] Record Updated 38
[12/16/2024 15:53:34] Record Updated 39
[12/16/2024 15:53:34] Record Updated 40
[12/16/2024 15:53:34] Record Updated 41
[12/16/2024 15:53:34] Record Updated 42
[12/16/2024 15:53:34] Record Updated 43
[12/16/2024 15:53:34] Record Updated 44
[12/16/2024 15:53:34] Record Updated 45
[12/16/2024 15:53:35] Record Updated 46
[12/16/2024 15:53:35] Record Updated 47
[12/16/2024 15:53:35] Record Updated 48
[12/16/2024 15:53:35] Record Updated 49
[12/16/2024 15:53:35] Record Updated 50
[12/16/2024 15:53:35] Record Updated 51
[12/16/2024 15:53:35] Record Updated 52
[12/16/2024 15:53:35] Record Updated 53
[12/16/2024 15:53:36] Record Updated 54
[12/16/2024 15:53:36] Record Updated 55
[12/16/2024 15:53:36] Record Updated 56
[12/16/2024 15:53:36] Record Updated 57
[12/16/2024 15:53:36] Record Updated 58
[12/16/2024 15:53:36] Record Updated 59
[12/16/2024 15:53:36] Record Updated 60
[12/16/2024 15:53:36] Record Updated 61
