***************************************************************************************************
Started processing at [12/14/2024 11:17:31].
***************************************************************************************************

Running script version [1.1].

***************************************************************************************************

[12/14/2024 11:17:33] Export Folder: [D:\Code\Repos\US-Mass-Shootings\Export] already exists
[12/14/2024 11:17:38] Mother Jones CSV copied to: [D:\Code\Repos\US-Mass-Shootings\Export]
[12/14/2024 11:17:38] Mother Jones CSV imported from: [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2023.csv]
[12/14/2024 11:17:38] Starting column data correction loop
[12/14/2024 11:17:39] Record Update 1
[12/14/2024 11:17:39] Record Update 2
[12/14/2024 11:17:39] Record Update 3
[12/14/2024 11:17:40] Record Update 4
[12/14/2024 11:17:40] Record Update 5
[12/14/2024 11:17:40] Record Update 6
[12/14/2024 11:17:40] Record Update 7
[12/14/2024 11:17:40] Record Update 8
[12/14/2024 11:17:40] Record Update 9
[12/14/2024 11:17:40] Record Update 10
[12/14/2024 11:17:40] Record Update 11
[12/14/2024 11:17:41] Record Update 12
[12/14/2024 11:17:41] Record Update 13
[12/14/2024 11:17:41] Record Update 14
[12/14/2024 11:17:41] Record Updated 15
[12/14/2024 11:17:41] Record Updated 16
[12/14/2024 11:17:41] Record Updated 17
[12/14/2024 11:17:41] Record Updated 18
[12/14/2024 11:17:42] Record Updated 19
[12/14/2024 11:17:42] Record Updated 20
[12/14/2024 11:17:42] Record Updated 21
[12/14/2024 11:17:42] Record Updated 22
[12/14/2024 11:17:42] Record Updated 23
[12/14/2024 11:17:42] Record Updated 24
[12/14/2024 11:17:42] Record Updated 25
[12/14/2024 11:17:43] Record Updated 26
[12/14/2024 11:17:43] Record Updated 27
[12/14/2024 11:17:43] Record Updated 28
[12/14/2024 11:17:43] Record Updated 29
[12/14/2024 11:17:43] Record Updated 30
[12/14/2024 11:17:43] Record Updated 31
[12/14/2024 11:17:43] Record Updated 32
[12/14/2024 11:17:44] Record Updated 33
[12/14/2024 11:17:44] Record Updated 34
[12/14/2024 11:17:44] Record Updated 35
[12/14/2024 11:17:44] Record Updated 36
[12/14/2024 11:17:44] Record Updated 37
[12/14/2024 11:17:44] Record Updated 38
[12/14/2024 11:17:44] Record Updated 39
[12/14/2024 11:17:44] Record Updated 40
[12/14/2024 11:17:45] Record Updated 41
[12/14/2024 11:17:45] Record Updated 42
[12/14/2024 11:17:45] Record Updated 43
[12/14/2024 11:17:45] Record Updated 44
[12/14/2024 11:17:45] Record Updated 45
[12/14/2024 11:17:45] Record Updated 46
[12/14/2024 11:17:45] Record Updated 47
[12/14/2024 11:17:46] Record Updated 48
[12/14/2024 11:17:46] Record Updated 49
[12/14/2024 11:17:46] Record Updated 50
[12/14/2024 11:17:46] Record Updated 51
[12/14/2024 11:17:46] Record Updated 52
[12/14/2024 11:17:46] Record Updated 53
[12/14/2024 11:17:46] Record Updated 54
[12/14/2024 11:17:46] Record Updated 55
[12/14/2024 11:17:46] Record Updated 56
[12/14/2024 11:17:47] Record Updated 57
[12/14/2024 11:17:47] Record Updated 58
[12/14/2024 11:17:47] Record Updated 59
[12/14/2024 11:17:47] Record Updated 60
[12/14/2024 11:17:47] Record Updated 61
