***************************************************************************************************
Started processing at [12/15/2024 13:37:48].
***************************************************************************************************

Running script version [1.1].

***************************************************************************************************

[12/15/2024 13:37:50] Export Folder: [D:\Code\Repos\US-Mass-Shootings\Export] already exists
[12/15/2024 13:37:54] Mother Jones CSV copied to: [D:\Code\Repos\US-Mass-Shootings\Export]
[12/15/2024 13:37:55] Mother Jones CSV imported from: [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2024.csv]
[12/15/2024 13:37:55] Starting column data correction loop
[12/15/2024 13:37:56] Record Update 1
[12/15/2024 13:37:56] Record Update 2
[12/15/2024 13:37:57] Record Update 3
[12/15/2024 13:37:57] Record Update 4
[12/15/2024 13:37:57] Record Update 5
[12/15/2024 13:37:57] Record Update 6
[12/15/2024 13:37:57] Record Update 7
[12/15/2024 13:37:57] Record Update 8
[12/15/2024 13:37:57] Record Update 9
[12/15/2024 13:37:58] Record Update 10
[12/15/2024 13:37:58] Record Update 11
[12/15/2024 13:37:58] Record Update 12
[12/15/2024 13:37:58] Record Update 13
[12/15/2024 13:37:58] Record Update 14
[12/15/2024 13:37:58] Record Updated 15
[12/15/2024 13:37:58] Record Updated 16
[12/15/2024 13:37:58] Record Updated 17
[12/15/2024 13:37:59] Record Updated 18
[12/15/2024 13:37:59] Record Updated 19
[12/15/2024 13:38:00] Record Updated 23
[12/15/2024 13:38:00] Record Updated 24
[12/15/2024 13:38:00] Record Updated 25
[12/15/2024 13:38:00] Record Updated 26
[12/15/2024 13:38:00] Record Updated 27
[12/15/2024 13:38:00] Record Updated 28
[12/15/2024 13:38:01] Record Updated 29
[12/15/2024 13:38:01] Record Updated 30
[12/15/2024 13:38:01] Record Updated 31
[12/15/2024 13:38:01] Record Updated 32
[12/15/2024 13:38:01] Record Updated 33
[12/15/2024 13:38:01] Record Updated 34
[12/15/2024 13:38:02] Record Updated 35
[12/15/2024 13:38:02] Record Updated 36
[12/15/2024 13:38:02] Record Updated 37
[12/15/2024 13:38:02] Record Updated 38
[12/15/2024 13:38:02] Record Updated 39
[12/15/2024 13:38:02] Record Updated 40
[12/15/2024 13:38:02] Record Updated 41
[12/15/2024 13:38:03] Record Updated 42
[12/15/2024 13:38:03] Record Updated 43
[12/15/2024 13:38:03] Record Updated 44
[12/15/2024 13:38:03] Record Updated 45
[12/15/2024 13:38:03] Record Updated 46
[12/15/2024 13:38:03] Record Updated 47
[12/15/2024 13:38:03] Record Updated 48
[12/15/2024 13:38:04] Record Updated 49
[12/15/2024 13:38:04] Record Updated 50
[12/15/2024 13:38:04] Record Updated 51
[12/15/2024 13:38:04] Record Updated 52
[12/15/2024 13:38:04] Record Updated 53
[12/15/2024 13:38:04] Record Updated 54
[12/15/2024 13:38:04] Record Updated 55
[12/15/2024 13:38:04] Record Updated 56
[12/15/2024 13:38:05] Record Updated 57
[12/15/2024 13:38:05] Record Updated 58
[12/15/2024 13:38:05] Record Updated 59
[12/15/2024 13:38:05] Record Updated 60
[12/15/2024 13:38:05] Record Updated 61
[12/15/2024 13:38:05] Record Updated 62
[12/15/2024 13:38:05] Record Updated 63
[12/15/2024 13:38:05] Record Updated 64
