***************************************************************************************************
Started processing at [11/14/2023 11:38:45].
***************************************************************************************************

Running script version [1.1].

***************************************************************************************************

[11/14/2023 11:38:45] Export Folder: [D:\Code\Repos\US-Mass-Shootings\Export] already exists
[11/14/2023 11:38:48] Mother Jones CSV copied to: [D:\Code\Repos\US-Mass-Shootings\Export]
[11/14/2023 11:38:48] Mother Jones CSV imported from: [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2023.csv]
[11/14/2023 11:38:48] Starting column data correction loop
[11/14/2023 11:38:48] Record Update 1
[11/14/2023 11:38:48] Record Update 2
[11/14/2023 11:38:48] Record Update 3
[11/14/2023 11:38:48] Record Update 4
[11/14/2023 11:38:48] Record Update 5
[11/14/2023 11:38:48] Record Update 6
[11/14/2023 11:38:48] Record Update 7
[11/14/2023 11:38:48] Record Update 8
[11/14/2023 11:38:48] Record Update 9
[11/14/2023 11:38:48] Record Update 10
[11/14/2023 11:38:48] Record Update 11
[11/14/2023 11:38:48] Record Update 12
[11/14/2023 11:38:48] Record Update 13
[11/14/2023 11:38:48] Record Update 14
[11/14/2023 11:38:48] Record Updated 15
[11/14/2023 11:38:48] Record Updated 16
[11/14/2023 11:38:48] Record Updated 17
[11/14/2023 11:38:48] Record Updated 18
[11/14/2023 11:38:48] Record Updated 19
[11/14/2023 11:38:48] Record Updated 20
[11/14/2023 11:38:48] Record Updated 21
[11/14/2023 11:38:48] Record Updated 22
[11/14/2023 11:38:48] Record Updated 23
[11/14/2023 11:38:48] Record Updated 24
[11/14/2023 11:38:48] Record Updated 25
[11/14/2023 11:38:48] Record Updated 26
[11/14/2023 11:38:48] Record Updated 27
[11/14/2023 11:38:48] Record Updated 28
[11/14/2023 11:38:48] Record Updated 29
[11/14/2023 11:38:48] Record Updated 30
[11/14/2023 11:38:48] Record Updated 31
[11/14/2023 11:38:48] Record Updated 32
[11/14/2023 11:38:48] Record Updated 33
[11/14/2023 11:38:48] Record Updated 34
[11/14/2023 11:38:48] Record Updated 35
[11/14/2023 11:38:48] Record Updated 36
[11/14/2023 11:38:48] Record Updated 37
[11/14/2023 11:38:48] Record Updated 38
[11/14/2023 11:38:48] Record Updated 39
[11/14/2023 11:38:48] Record Updated 40
[11/14/2023 11:38:48] Record Updated 41
[11/14/2023 11:38:48] Record Updated 42
[11/14/2023 11:38:48] Record Updated 43
[11/14/2023 11:38:48] Record Updated 44
[11/14/2023 11:38:48] Record Updated 45
[11/14/2023 11:38:48] Record Updated 46
[11/14/2023 11:38:48] Record Updated 47
[11/14/2023 11:38:48] Record Updated 48
[11/14/2023 11:38:48] Record Updated 49
[11/14/2023 11:38:48] Record Updated 50
[11/14/2023 11:38:48] Record Updated 51
[11/14/2023 11:38:48] Record Updated 52
[11/14/2023 11:38:48] Record Updated 53
[11/14/2023 11:38:48] Record Updated 54
[11/14/2023 11:38:48] Record Updated 55
[11/14/2023 11:38:48] Record Updated 56
[11/14/2023 11:38:48] Record Updated 57
[11/14/2023 11:38:48] Record Updated 58
[11/14/2023 11:38:48] Record Updated 59
[11/14/2023 11:38:48] Record Updated 60
[11/14/2023 11:38:48] Record Updated 61
