***************************************************************************************************
Started processing at [10/02/2023 20:24:35].
***************************************************************************************************

Running script version [1.0].

***************************************************************************************************

[10/02/2023 20:24:35] Export Folder: [D:\Code\Repos\US-Mass-Shootings\Export\] already exists
[10/02/2023 20:24:37] Mother Jones CSV copied to: [D:\Code\Repos\US-Mass-Shootings\Export\]
[10/02/2023 20:24:37] Mother Jones CSV imported from: [D:\Code\Repos\US-Mass-Shootings\Export\\Mother Jones - Mass Shootings Database 1982-2023.csv]
[10/02/2023 20:24:51] Starting column data correction loop
[10/02/2023 20:25:07] Record Update 1
[10/02/2023 20:25:07] Record Update 2
[10/02/2023 20:25:07] Record Update 3
[10/02/2023 20:25:07] Record Update 4
[10/02/2023 20:25:07] Record Update 5
[10/02/2023 20:25:07] Record Update 6
[10/02/2023 20:25:07] Record Update 7
[10/02/2023 20:25:07] Record Update 8
[10/02/2023 20:25:07] Record Update 9
[10/02/2023 20:25:07] Record Update 10
[10/02/2023 20:25:07] Record Update 11
[10/02/2023 20:25:07] Record Update 12
[10/02/2023 20:25:07] Record Update 13
[10/02/2023 20:25:07] Record Update 14
[10/02/2023 20:25:07] Record Updated 15
[10/02/2023 20:25:07] Record Updated 16
[10/02/2023 20:25:07] Record Updated 17
[10/02/2023 20:25:07] Record Updated 18
[10/02/2023 20:25:07] Record Updated 19
[10/02/2023 20:25:07] Record Updated 20
[10/02/2023 20:25:07] Record Updated 21
[10/02/2023 20:25:07] Record Updated 22
[10/02/2023 20:25:07] Record Updated 23
[10/02/2023 20:25:07] Record Updated 24
[10/02/2023 20:25:07] Record Updated 25
[10/02/2023 20:25:07] Record Updated 26
[10/02/2023 20:25:07] Record Updated 27
[10/02/2023 20:25:07] Record Updated 28
[10/02/2023 20:25:07] Record Updated 29
[10/02/2023 20:25:07] Record Updated 30
[10/02/2023 20:25:07] Record Updated 31
[10/02/2023 20:25:07] Record Updated 32
[10/02/2023 20:25:07] Record Updated 33
[10/02/2023 20:25:07] Record Updated 34
[10/02/2023 20:25:07] Record Updated 35
[10/02/2023 20:25:07] Record Updated 36
[10/02/2023 20:25:07] Record Updated 37
[10/02/2023 20:25:07] Record Updated 38
[10/02/2023 20:25:07] Record Updated 39
[10/02/2023 20:25:07] Record Updated 40
[10/02/2023 20:25:07] Record Updated 41
[10/02/2023 20:25:07] Record Updated 42
[10/02/2023 20:25:07] Record Updated 43
[10/02/2023 20:25:07] Record Updated 44
[10/02/2023 20:25:07] Record Updated 45
[10/02/2023 20:25:07] Record Updated 46
[10/02/2023 20:25:07] Record Updated 47
[10/02/2023 20:25:07] Record Updated 48
[10/02/2023 20:25:07] Record Updated 49
[10/02/2023 20:25:07] Record Updated 50
[10/02/2023 20:25:07] Record Updated 51
[10/02/2023 20:25:07] Record Updated 52
[10/02/2023 20:25:07] Record Updated 53
[10/02/2023 20:25:07] Record Updated 54
[10/02/2023 20:25:07] Record Updated 55
[10/02/2023 20:25:07] Record Updated 56
[10/02/2023 20:25:07] Record Updated 57
[10/02/2023 20:25:07] Record Updated 58
[10/02/2023 20:25:07] Record Updated 59
[10/02/2023 20:25:07] Record Updated 60
[10/02/2023 20:25:07] Record Updated 61
