***************************************************************************************************
Started processing at [06/15/2023 16:38:46].
***************************************************************************************************

Running script version [1.0].

***************************************************************************************************

[06/15/2023 16:38:46] Export Folder: [D:\Code\Repos\US-Mass-Shootings\Export\] already exists
[06/15/2023 16:38:48] Mother Jones CSV copied to: [D:\Code\Repos\US-Mass-Shootings\Export\]
[06/15/2023 16:38:48] Mother Jones CSV imported from: [D:\Code\Repos\US-Mass-Shootings\Export\\Mother Jones - Mass Shootings Database 1982-2023.csv]
[06/15/2023 16:38:48] Starting column data correction loop
[06/15/2023 16:38:49] Record Update 1
[06/15/2023 16:38:49] Record Update 2
[06/15/2023 16:38:49] Record Update 3
[06/15/2023 16:38:49] Record Update 4
[06/15/2023 16:38:49] Record Update 5
[06/15/2023 16:38:49] Record Update 6
[06/15/2023 16:38:49] Record Update 7
[06/15/2023 16:38:49] Record Update 8
[06/15/2023 16:38:49] Record Update 9
[06/15/2023 16:38:49] Record Update 10
[06/15/2023 16:38:49] Record Update 11
[06/15/2023 16:38:49] Record Update 12
[06/15/2023 16:38:49] Record Update 13
[06/15/2023 16:38:49] Record Update 14
[06/15/2023 16:38:49] Record Updated 15
[06/15/2023 16:38:49] Record Updated 16
[06/15/2023 16:38:49] Record Updated 17
[06/15/2023 16:38:49] Record Updated 18
[06/15/2023 16:38:49] Record Updated 19
[06/15/2023 16:38:49] Record Updated 20
[06/15/2023 16:38:49] Record Updated 21
[06/15/2023 16:38:49] Record Updated 22
[06/15/2023 16:38:49] Record Updated 23
[06/15/2023 16:38:49] Record Updated 24
[06/15/2023 16:38:49] Record Updated 25
[06/15/2023 16:38:49] Record Updated 26
[06/15/2023 16:38:49] Record Updated 27
[06/15/2023 16:38:49] Record Updated 28
[06/15/2023 16:38:49] Record Updated 29
[06/15/2023 16:38:49] Record Updated 30
[06/15/2023 16:38:49] Record Updated 31
[06/15/2023 16:38:49] Record Updated 32
[06/15/2023 16:38:49] Record Updated 33
[06/15/2023 16:38:49] Record Updated 34
[06/15/2023 16:38:49] Record Updated 35
[06/15/2023 16:38:49] Record Updated 36
[06/15/2023 16:38:49] Record Updated 37
[06/15/2023 16:38:49] Record Updated 38
[06/15/2023 16:38:49] Record Updated 39
[06/15/2023 16:38:49] Record Updated 40
[06/15/2023 16:38:49] Record Updated 41
[06/15/2023 16:38:49] Record Updated 42
[06/15/2023 16:38:49] Record Updated 43
[06/15/2023 16:38:49] Record Updated 44
[06/15/2023 16:38:49] Record Updated 45
[06/15/2023 16:38:49] Record Updated 46
[06/15/2023 16:38:49] Record Updated 47
[06/15/2023 16:38:49] Record Updated 48
[06/15/2023 16:38:49] Record Updated 49
[06/15/2023 16:38:49] Record Updated 50
[06/15/2023 16:38:49] Record Updated 51
[06/15/2023 16:38:49] Record Updated 52
[06/15/2023 16:38:49] Record Updated 53
[06/15/2023 16:38:49] Record Updated 54
[06/15/2023 16:38:49] Record Updated 55
[06/15/2023 16:38:49] Record Updated 56
[06/15/2023 16:38:49] Record Updated 57
[06/15/2023 16:38:49] Record Updated 58
[06/15/2023 16:38:49] Record Updated 59
[06/15/2023 16:38:49] Record Updated 60
[06/15/2023 16:38:49] Record Updated 61
