***************************************************************************************************
Started processing at [02/02/2024 11:07:51].
***************************************************************************************************

Running script version [1.1].

***************************************************************************************************

[02/02/2024 11:07:54] Export Folder: [D:\Code\Repos\US-Mass-Shootings\Export] already exists
[02/02/2024 11:07:58] Mother Jones CSV copied to: [D:\Code\Repos\US-Mass-Shootings\Export]
[02/02/2024 11:07:59] Mother Jones CSV imported from: [D:\Code\Repos\US-Mass-Shootings\Export\Mother Jones - Mass Shootings Database 1982-2023.csv]
[02/02/2024 11:07:59] Starting column data correction loop
[02/02/2024 11:08:01] Record Update 1
[02/02/2024 11:08:04] Record Update 2
[02/02/2024 11:08:06] Record Update 3
[02/02/2024 11:08:08] Record Update 4
[02/02/2024 11:08:10] Record Update 5
[02/02/2024 11:08:12] Record Update 6
[02/02/2024 11:08:14] Record Update 7
[02/02/2024 11:08:16] Record Update 8
[02/02/2024 11:08:18] Record Update 9
[02/02/2024 11:08:21] Record Update 10
[02/02/2024 11:08:23] Record Update 11
[02/02/2024 11:08:25] Record Update 12
[02/02/2024 11:08:27] Record Update 13
[02/02/2024 11:08:29] Record Update 14
[02/02/2024 11:08:31] Record Updated 15
[02/02/2024 11:08:32] Record Updated 16
[02/02/2024 11:08:34] Record Updated 17
[02/02/2024 11:08:37] Record Updated 18
[02/02/2024 11:08:39] Record Updated 19
[02/02/2024 11:08:42] Record Updated 20
[02/02/2024 11:08:44] Record Updated 21
[02/02/2024 11:08:47] Record Updated 22
[02/02/2024 11:08:48] Record Updated 23
[02/02/2024 11:08:49] Record Updated 24
[02/02/2024 11:08:49] Record Updated 25
[02/02/2024 11:08:50] Record Updated 26
[02/02/2024 11:08:50] Record Updated 27
[02/02/2024 11:08:52] Record Updated 28
[02/02/2024 11:08:53] Record Updated 29
[02/02/2024 11:08:54] Record Updated 30
[02/02/2024 11:08:56] Record Updated 31
[02/02/2024 11:08:59] Record Updated 32
[02/02/2024 11:09:01] Record Updated 33
[02/02/2024 11:09:04] Record Updated 34
[02/02/2024 11:09:06] Record Updated 35
[02/02/2024 11:09:08] Record Updated 36
[02/02/2024 11:09:10] Record Updated 37
[02/02/2024 11:09:12] Record Updated 38
[02/02/2024 11:09:14] Record Updated 39
[02/02/2024 11:09:16] Record Updated 40
[02/02/2024 11:09:18] Record Updated 41
[02/02/2024 11:09:20] Record Updated 42
[02/02/2024 11:09:23] Record Updated 43
[02/02/2024 11:09:25] Record Updated 44
[02/02/2024 11:09:27] Record Updated 45
[02/02/2024 11:09:29] Record Updated 46
[02/02/2024 11:09:31] Record Updated 47
[02/02/2024 11:09:33] Record Updated 48
[02/02/2024 11:09:35] Record Updated 49
[02/02/2024 11:09:37] Record Updated 50
[02/02/2024 11:09:39] Record Updated 51
[02/02/2024 11:09:41] Record Updated 52
[02/02/2024 11:09:43] Record Updated 53
[02/02/2024 11:09:45] Record Updated 54
[02/02/2024 11:09:48] Record Updated 55
[02/02/2024 11:09:50] Record Updated 56
[02/02/2024 11:09:52] Record Updated 57
[02/02/2024 11:09:54] Record Updated 58
[02/02/2024 11:09:56] Record Updated 59
[02/02/2024 11:09:58] Record Updated 60
[02/02/2024 11:10:00] Record Updated 61
